chave,NOME,UF,GEOCOD_IBGE,COD_TSE,AJUSTE
ba palmas de monte alto,PALMAS DE MONTE ALTO,BA,2923407,37699,
ba palmeiras,PALMEIRAS,BA,2923506,37710,
ba paramirim,PARAMIRIM,BA,2923605,37737,
ba paratinga,PARATINGA,BA,2923704,37753,
ba paripiranga,PARIPIRANGA,BA,2923803,37770,
ba pau brasil,PAU BRASIL,BA,2923902,37796,
ba paulo afonso,PAULO AFONSO,BA,2924009,37818,
ba pe de serra,PÉ DE SERRA,BA,2924058,39810,
ba pedrao,PEDRÃO,BA,2924108,37834,
ba pedro alexandre,PEDRO ALEXANDRE,BA,2924207,37850,
ba piata,PIATÃ,BA,2924306,37877,
ba pilao arcado,PILÃO ARCADO,BA,2924405,37893,
ba pindai,PINDAÍ,BA,2924504,37915,
ba pindobacu,PINDOBAÇU,BA,2924603,37931,
ba pintadas,PINTADAS,BA,2924652,39837,
ba pirai do norte,PIRAÍ DO NORTE,BA,2924678,37940,
ba piripa,PIRIPÁ,BA,2924702,37958,
ba piritiba,PIRITIBA,BA,2924801,37974,
ba planaltino,PLANALTINO,BA,2924900,37990,
ba planalto,PLANALTO,BA,2925006,38016,
ba pocoes,POÇÕES,BA,2925105,38032,
ba pojuca,POJUCA,BA,2925204,38059,
ba ponto novo,PONTO NOVO,BA,2925253,38067,
ba porto seguro,PORTO SEGURO,BA,2925303,38075,
ba potiragua,POTIRAGUÁ,BA,2925402,38091,
ba prado,PRADO,BA,2925501,38113,
ba presidente dutra,PRESIDENTE DUTRA,BA,2925600,38130,
ba presidente janio quadros,PRESIDENTE JÂNIO QUADROS,BA,2925709,38156,
ba presidente tancredo neves,PRESIDENTE TANCREDO NEVES,BA,2925758,38164,
ba queimadas,QUEIMADAS,BA,2925808,38172,
ba quinjingue,QUINJINGUE,BA,2925907,38199,S
ba quixabeira,QUIXABEIRA,BA,2925931,39845,
ba rafael jambeiro,RAFAEL JAMBEIRO,BA,2925956,39853,
ba remanso,REMANSO,BA,2926004,38210,
ba retirolandia,RETIROLÂNDIA,BA,2926103,38237,
ba riachao das neves,RIACHÃO DAS NEVES,BA,2926202,38253,
ba riachao do jacuipe,RIACHÃO DO JACUÍPE,BA,2926301,38270,
ba riacho de santana,RIACHO DE SANTANA,BA,2926400,38296,
ba ribeira do amparo,RIBEIRA DO AMPARO,BA,2926509,38318,
ba ribeira do pombal,RIBEIRA DO POMBAL,BA,2926608,38334,
ba ribeirao do largo,RIBEIRÃO DO LARGO,BA,2926657,38342,
ba rio de contas,RIO DE CONTAS,BA,2926707,38350,
ba rio do antonio,RIO DO ANTÔNIO,BA,2926806,38377,
ba rio do pires,RIO DO PIRES,BA,2926905,38393,
ba rio real,RIO REAL,BA,2927002,38415,
ba rodelas,RODELAS,BA,2927101,38431,
ba ruy barbosa,RUY BARBOSA,BA,2927200,38458,
ba salinas da margarida,SALINAS DA MARGARIDA,BA,2927309,38474,
ba salvador,SALVADOR,BA,2927408,38490,
ba santa barbara,SANTA BÁRBARA,BA,2927507,38512,
ba santa brigida,SANTA BRÍGIDA,BA,2927606,38539,
ba santa cruz cabralia,SANTA CRUZ CABRÁLIA,BA,2927705,38555,
ba santa cruz da vitoria,SANTA CRUZ DA VITÓRIA,BA,2927804,38571,
ba santa ines,SANTA INÊS,BA,2927903,38598,
ba santa luzia,SANTA LUZIA,BA,2928059,39870,
ba santa maria da vitoria,SANTA MARIA DA VITÓRIA,BA,2928109,38636,
ba santa rita de cassia,SANTA RITA DE CÁSSIA,BA,2928406,35491,
ba santa terezinha,SANTA TEREZINHA,BA,2928505,38695,
ba santaluz,SANTALUZ,BA,2928000,38610,
ba santana,SANTANA,BA,2928208,38652,
ba santanopolis,SANTANÓPOLIS,BA,2928307,38679,
ba santo amaro,SANTO AMARO,BA,2928604,38717,
ba santo antonio de jesus,SANTO ANTÔNIO DE JESUS,BA,2928703,38733,
ba santo estevao,SANTO ESTEVÃO,BA,2928802,38750,
ba sao desiderio,SÃO DESIDÉRIO,BA,2928901,38776,
ba sao domingos,SÃO DOMINGOS,BA,2928950,38806,
ba sao felipe,SÃO FELIPE,BA,2929107,38814,
ba sao felix,SÃO FÉLIX,BA,2929008,38792,
ba sao felix do coribe,SÃO FÉLIX DO CORIBE,BA,2929057,38822,
ba sao francisco do conde,SÃO FRANCISCO DO CONDE,BA,2929206,38830,
ba sao gabriel,SÃO GABRIEL,BA,2929255,39896,
ba sao goncalo dos campos,SÃO GONÇALO DOS CAMPOS,BA,2929305,38857,
ba sao jose da vitoria,SÃO JOSÉ DA VITÓRIA,BA,2929354,39926,
ba sao jose do jacuipe,SÃO JOSÉ DO JACUÍPE,BA,2929370,38865,
ba sao miguel das matas,SÃO MIGUEL DAS MATAS,BA,2929404,38873,
ba sao sebastiao do passe,SÃO SEBASTIÃO DO PASSÉ,BA,2929503,38890,
ba sapeacu,SAPEAÇU,BA,2929602,38911,
ba satiro dias,SÁTIRO DIAS,BA,2929701,38938,
ba saubara,SAUBARA,BA,2929750,38946,
ba saude,SAÚDE,BA,2929800,38954,
ba seabra,SEABRA,BA,2929909,38970,
ba sebastiao laranjeiras,SEBASTIÃO LARANJEIRAS,BA,2930006,38997,
ba senhor do bonfim,SENHOR DO BONFIM,BA,2930105,39012,
ba sento se,SENTO SÉ,BA,2930204,39039,
ba serra do ramalho,SERRA DO RAMALHO,BA,2930154,39047,
ba serra dourada,SERRA DOURADA,BA,2930303,39055,
ba serra preta,SERRA PRETA,BA,2930402,39071,
ba serrinha,SERRINHA,BA,2930501,39098,
ba serrolandia,SERROLÂNDIA,BA,2930600,39110,
ba simoes filho,SIMÕES FILHO,BA,2930709,39136,
ba sitio do mato,SÍTIO DO MATO,BA,2930758,39144,
ba sitio do quinto,SÍTIO DO QUINTO,BA,2930766,39900,
ba sobradinho,SOBRADINHO,BA,2930774,39985,
ba souto soares,SOUTO SOARES,BA,2930808,39152,
ba tabocas do brejo velho,TABOCAS DO BREJO VELHO,BA,2930907,39179,
ba tanhacu,TANHAÇU,BA,2931004,39195,
ba tanque novo,TANQUE NOVO,BA,2931053,39918,
ba tanquinho,TANQUINHO,BA,2931103,39217,
ba taperoa,TAPEROÁ,BA,2931202,39233,
ba tapiramuta,TAPIRAMUTÁ,BA,2931301,39250,
ba teixeira de freitas,TEIXEIRA DE FREITAS,BA,2931350,39934,
ba teodoro sampaio,TEODORO SAMPAIO,BA,2931400,39276,
ba teofilandia,TEOFILÂNDIA,BA,2931509,39292,
ba teolandia,TEOLÂNDIA,BA,2931608,39314,
ba terra nova,TERRA NOVA,BA,2931707,39330,
ba tremedal,TREMEDAL,BA,2931806,39357,
ba tucano,TUCANO,BA,2931905,39373,
ba uaua,UAUÁ,BA,2932002,39390,
ba ubaira,UBAÍRA,BA,2932101,39411,
ba ubaitaba,UBAITABA,BA,2932200,39438,
ba ubata,UBATÃ,BA,2932309,39454,
ba uibai,UIBAÍ,BA,2932408,39470,
ba umburanas,UMBURANAS,BA,2932457,39489,
ba una,UNA,BA,2932507,39497,
ba urandi,URANDI,BA,2932606,39519,
ba urucuca,URUÇUCA,BA,2932705,39535,
ba utinga,UTINGA,BA,2932804,39551,
ba valenca,VALENÇA,BA,2932903,39578,
ba valente,VALENTE,BA,2933000,39594,
ba varzea da roca,VÁRZEA DA ROÇA,BA,2933059,39977,
ba varzea do poco,VÁRZEA DO POÇO,BA,2933109,39616,
ba varzea nova,VÁRZEA NOVA,BA,2933158,39950,
ba varzedo,VARZEDO,BA,2933174,39624,
ba vera cruz,VERA CRUZ,BA,2933208,39632,
ba vereda,VEREDA,BA,2933257,39640,
ba vitoria da conquista,VITÓRIA DA CONQUISTA,BA,2933307,39659,
ba wagner,WAGNER,BA,2933406,39675,
ba wanderley,WANDERLEY,BA,2933455,39993,
ba wenceslau guimaraes,WENCESLAU GUIMARÃES,BA,2933505,39691,
ba xique-xique,XIQUE-XIQUE,BA,2933604,39713,
ce abaiara,ABAIARA,CE,2300101,13013,
ce acarape,ACARAPE,CE,2300150,13145,
ce acarau,ACARAÚ,CE,2300200,13030,
ce acopiara,ACOPIARA,CE,2300309,13056,
ce aiuaba,AIUABA,CE,2300408,13072,
ce alcantaras,ALCÂNTARAS,CE,2300507,13099,
ce altaneira,ALTANEIRA,CE,2300606,13110,
ce alto santo,ALTO SANTO,CE,2300705,13137,
ce amontada,AMONTADA,CE,2300754,15873,
ce antonina do norte,ANTONINA DO NORTE,CE,2300804,13153,
ce apuiares,APUIARÉS,CE,2300903,13170,
ce aquiraz,AQUIRAZ,CE,2301000,13196,
ce aracati,ARACATI,CE,2301109,13218,
ce aracoiaba,ARACOIABA,CE,2301208,13234,
ce ararenda,ARARENDÁ,CE,2301257,13420,
ce araripe,ARARIPE,CE,2301307,13250,
ce aratuba,ARATUBA,CE,2301406,13277,
ce arneiroz,ARNEIROZ,CE,2301505,13293,
ce assare,ASSARÉ,CE,2301604,13315,
ce aurora,AURORA,CE,2301703,13331,
ce baixio,BAIXIO,CE,2301802,13358,
ce banabuiu,BANABUIÚ,CE,2301851,13382,
ce barbalha,BARBALHA,CE,2301901,13374,
ce barreira,BARREIRA,CE,2301950,13129,
ce barro,BARRO,CE,2302008,13390,
ce barroquinha,BARROQUINHA,CE,2302057,13404,
ce baturite,BATURITÉ,CE,2302107,13412,
ce beberibe,BEBERIBE,CE,2302206,13439,
ce bela cruz,BELA CRUZ,CE,2302305,13455,
ce boa viagem,BOA VIAGEM,CE,2302404,13471,
ce brejo santo,BREJO SANTO,CE,2302503,13498,
ce camocim,CAMOCIM,CE,2302602,13510,
ce campos sales,CAMPOS SALES,CE,2302701,13536,
ce caninde,CANINDÉ,CE,2302800,13552,
ce capistrano,CAPISTRANO,CE,2302909,13579,
ce caridade,CARIDADE,CE,2303006,13595,
ce carire,CARIRÉ,CE,2303105,13617,
ce caririacu,CARIRIAÇU,CE,2303204,13633,
ce carius,CARIÚS,CE,2303303,13650,
ce carnaubal,CARNAUBAL,CE,2303402,13676,
ce cascavel,CASCAVEL,CE,2303501,13692,
ce catarina,CATARINA,CE,2303600,13714,
ce catunda,CATUNDA,CE,2303659,13447,
ce caucaia,CAUCAIA,CE,2303709,13730,
ce cedro,CEDRO,CE,2303808,13757,
ce chaval,CHAVAL,CE,2303907,13773,
ce choro,CHORÓ,CE,2303931,13463,
ce chorozinho,CHOROZINHO,CE,2303956,13161,
ce coreau,COREAÚ,CE,2304004,13811,
ce crateus,CRATEÚS,CE,2304103,13838,
ce crato,CRATO,CE,2304202,13854,
ce croata,CROATÁ,CE,2304236,15881,
ce cruz,CRUZ,CE,2304251,15890,
ce deputado irapuan pinheiro,DEPUTADO IRAPUAN PINHEIRO,CE,2304269,15989,
ce erere,ERERÊ,CE,2304277,13200,
ce eusebio,EUSÉBIO,CE,2304285,13226,
ce farias brito,FARIAS BRITO,CE,2304301,13870,
ce forquilha,FORQUILHA,CE,2304350,15911,
ce fortaleza,FORTALEZA,CE,2304400,13897,
ce fortim,FORTIM,CE,2304459,13501,
ce frecheirinha,FRECHEIRINHA,CE,2304509,13919,
ce general sampaio,GENERAL SAMPAIO,CE,2304608,13935,
ce graca,GRAÇA,CE,2304657,13064,
ce granja,GRANJA,CE,2304707,13951,
ce granjeiro,GRANJEIRO,CE,2304806,13978,
ce groairas,GROAÍRAS,CE,2304905,13994,
ce guaiuba,GUAIÚBA,CE,2304954,13242,
ce guaraciaba do norte,GUARACIABA DO NORTE,CE,2305001,14010,
ce guaramiranga,GUARAMIRANGA,CE,2305100,14036,
ce hidrolandia,HIDROLÂNDIA,CE,2305209,14052,
ce horizonte,HORIZONTE,CE,2305233,13188,
ce ibaretama,IBARETAMA,CE,2305266,14060,
ce ibiapina,IBIAPINA,CE,2305308,14079,
ce ibicuitinga,IBICUITINGA,CE,2305332,15920,
ce icapui,ICAPUÍ,CE,2305357,15938,
ce ico,ICÓ,CE,2305407,14095,
ce iguatu,IGUATU,CE,2305506,14117,
ce independencia,INDEPENDÊNCIA,CE,2305605,14133,
ce ipaporanga,IPAPORANGA,CE,2305654,13340,
ce ipaumirim,IPAUMIRIM,CE,2305704,14150,
ce ipu,IPU,CE,2305803,14176,
ce ipueiras,IPUEIRAS,CE,2305902,14192,
ce iracema,IRACEMA,CE,2306009,14214,
ce iraucuba,IRAUÇUBA,CE,2306108,14230,
ce itaicaba,ITAIÇABA,CE,2306207,14257,
ce itaitinga,ITAITINGA,CE,2306256,13480,
ce itapage,ITAPAGÉ,CE,2306306,14273,S
ce itapipoca,ITAPIPOCA,CE,2306405,14290,
ce itapiuna,ITAPIÚNA,CE,2306504,14311,
ce itarema,ITAREMA,CE,2306553,15954,
ce itatira,ITATIRA,CE,2306603,14338,
ce jaguaretama,JAGUARETAMA,CE,2306702,14354,
ce jaguaribara,JAGUARIBARA,CE,2306801,14370,
ce jaguaribe,JAGUARIBE,CE,2306900,14397,
ce jaguaruana,JAGUARUANA,CE,2307007,14419,
ce jardim,JARDIM,CE,2307106,14435,
ce jati,JATI,CE,2307205,14451,
ce jijoca de jericoacoara,JIJOCA DE JERICOACOARA,CE,2307254,13005,
ce juazeiro do norte,JUAZEIRO DO NORTE,CE,2307304,14478,
ce jucas,JUCÁS,CE,2307403,14494,
ce lavras da mangabeira,LAVRAS DA MANGABEIRA,CE,2307502,14516,
ce limoeiro do norte,LIMOEIRO DO NORTE,CE,2307601,14532,
ce madalena,MADALENA,CE,2307635,13021,
ce maracanau,MARACANAÚ,CE,2307650,15857,
ce maranguape,MARANGUAPE,CE,2307700,14559,
ce marco,MARCO,CE,2307809,14575,
ce martinopole,MARTINÓPOLE,CE,2307908,14591,
ce massape,MASSAPÊ,CE,2308005,14613,
ce mauriti,MAURITI,CE,2308104,14630,
ce meruoca,MERUOCA,CE,2308203,14656,
ce milagres,MILAGRES,CE,2308302,14672,
ce milha,MILHÃ,CE,2308351,15970,
ce miraima,MIRAÍMA,CE,2308377,14680,
ce missao velha,MISSÃO VELHA,CE,2308401,14699,
ce mombaca,MOMBAÇA,CE,2308500,14710,
ce monsenhor tabosa,MONSENHOR TABOSA,CE,2308609,14737,
ce morada nova,MORADA NOVA,CE,2308708,14753,
ce moraujo,MORAÚJO,CE,2308807,14770,
ce morrinhos,MORRINHOS,CE,2308906,14796,
ce mucambo,MUCAMBO,CE,2309003,14818,
ce mulungu,MULUNGU,CE,2309102,14834,
ce nova olinda,NOVA OLINDA,CE,2309201,14850,
ce nova russas,NOVA RUSSAS,CE,2309300,14877,
ce novo oriente,NOVO ORIENTE,CE,2309409,14893,
ce ocara,OCARA,CE,2309458,13307,
ce oros,ORÓS,CE,2309508,14915,
ce pacajus,PACAJUS,CE,2309607,14931,
ce pacatuba,PACATUBA,CE,2309706,14958,
ce pacoti,PACOTI,CE,2309805,14974,
ce pacuja,PACUJÁ,CE,2309904,14990,
ce palhano,PALHANO,CE,2310001,15016,
ce palmacia,PALMÁCIA,CE,2310100,15032,
ce paracuru,PARACURU,CE,2310209,15059,
ce paraipaba,PARAIPABA,CE,2310258,15997,
ce parambu,PARAMBU,CE,2310308,15075,
ce paramoti,PARAMOTI,CE,2310407,15091,
ce pedra branca,PEDRA BRANCA,CE,2310506,15113,
ce penaforte,PENAFORTE,CE,2310605,15130,
ce pentecoste,PENTECOSTE,CE,2310704,15156,
ce pereiro,PEREIRO,CE,2310803,15172,
ce pindoretama,PINDORETAMA,CE,2310852,13285,
ce piquet carneiro,PIQUET CARNEIRO,CE,2310902,15199,
ce pires ferreira,PIRES FERREIRA,CE,2310951,13048,
ce poranga,PORANGA,CE,2311009,15210,
ce porteiras,PORTEIRAS,CE,2311108,15237,
ce potengi,POTENGI,CE,2311207,15253,
ce potiretama,POTIRETAMA,CE,2311231,13269,
ce quiterianopolis,QUITERIANÓPOLIS,CE,2311264,13102,
ce quixada,QUIXADÁ,CE,2311306,15270,
ce quixelo,QUIXELÔ,CE,2311355,98531,
ce quixeramobim,QUIXERAMOBIM,CE,2311405,15296,
ce quixere,QUIXERÉ,CE,2311504,15318,
ce redencao,REDENÇÃO,CE,2311603,15334,
ce reriutaba,RERIUTABA,CE,2311702,15350,
ce russas,RUSSAS,CE,2311801,15377,
ce saboeiro,SABOEIRO,CE,2311900,15393,
ce salitre,SALITRE,CE,2311959,15440,
ce santa quiteria,SANTA QUITÉRIA,CE,2312205,15458,
ce santana do acarau,SANTANA DO ACARAÚ,CE,2312007,15415,
ce santana do cariri,SANTANA DO CARIRI,CE,2312106,15431,
ce sao benedito,SÃO BENEDITO,CE,2312304,15474,
ce sao goncalo do amarante,SÃO GONÇALO DO AMARANTE,CE,2312403,15490,
ce sao joao do jaguaribe,SÃO JOÃO DO JAGUARIBE,CE,2312502,15512,
ce sao luis do curu,SÃO LUÍS DO CURU,CE,2312601,15539,
ce senador pompeu,SENADOR POMPEU,CE,2312700,15555,
ce senador sa,SENADOR SÁ,CE,2312809,15571,
ce sobral,SOBRAL,CE,2312908,15598,
ce solonopole,SOLONÓPOLE,CE,2313005,15610,
ce tabuleiro do norte,TABULEIRO DO NORTE,CE,2313104,15636,
ce tamboril,TAMBORIL,CE,2313203,15652,
ce tarrafas,TARRAFAS,CE,2313252,13366,
ce taua,TAUÁ,CE,2313302,15679,
ce tejucuoca,TEJUÇUOCA,CE,2313351,13323,
ce tiangua,TIANGUÁ,CE,2313401,15695,
ce trairi,TRAIRI,CE,2313500,15717,
ce tururu,TURURU,CE,2313559,13080,
ce ubajara,UBAJARA,CE,2313609,15733,
ce umari,UMARI,CE,2313708,15750,
ce umirim,UMIRIM,CE,2313757,98558,
ce uruburetama,URUBURETAMA,CE,2313807,15776,
ce uruoca,URUOCA,CE,2313906,15792,
ce varjota,VARJOTA,CE,2313955,98574,
ce varzea alegre,VÁRZEA ALEGRE,CE,2314003,15814,
ce vicosa do ceara,VIÇOSA DO CEARÁ,CE,2314102,15830,
df brasilia,BRASÍLIA,DF,5300108,97012,
es afonso claudio,AFONSO CLÁUDIO,ES,3200102,56014,
es agua doce do norte,ÁGUA DOCE DO NORTE,ES,3200169,56022,
es aguia branca,ÁGUIA BRANCA,ES,3200136,57991,
es alegre,ALEGRE,ES,3200201,56030,
es alfredo chaves,ALFREDO CHAVES,ES,3200300,56057,
es alto rio novo,ALTO RIO NOVO,ES,3200359,56065,
es anchieta,ANCHIETA,ES,3200409,56073,
es apiaca,APIACÁ,ES,3200508,56090,
es aracruz,ARACRUZ,ES,3200607,56111,
es atilio vivacqua,ATÍLIO VIVÁCQUA,ES,3200706,56138,
es baixo guandu,BAIXO GUANDU,ES,3200805,56154,
es barra de sao francisco,BARRA DE SÃO FRANCISCO,ES,3200904,56170,
es boa esperanca,BOA ESPERANÇA,ES,3201001,56197,
es bom jesus do norte,BOM JESUS DO NORTE,ES,3201100,56219,
es brejetuba,BREJETUBA,ES,3201159,56146,
es cachoeiro de itapemirim,CACHOEIRO DE ITAPEMIRIM,ES,3201209,56235,
es cariacica,CARIACICA,ES,3201308,56251,
es castelo,CASTELO,ES,3201407,56278,
es colatina,COLATINA,ES,3201506,56294,
es conceicao da barra,CONCEIÇÃO DA BARRA,ES,3201605,56316,
es conceicao do castelo,CONCEIÇÃO DO CASTELO,ES,3201704,56332,
es divino de sao lourenco,DIVINO DE SÃO LOURENÇO,ES,3201803,56359,
es domingos martins,DOMINGOS MARTINS,ES,3201902,56375,
es dores do rio preto,DORES DO RIO PRETO,ES,3202009,56391,
es ecoporanga,ECOPORANGA,ES,3202108,56413,
es fundao,FUNDÃO,ES,3202207,56430,
es governador lindenberg,GOVERNADOR LINDENBERG,ES,3202256,56308,
es guacui,GUAÇUÍ,ES,3202306,56456,
es guarapari,GUARAPARI,ES,3202405,56472,
es ibatiba,IBATIBA,ES,3202454,57096,
es ibiracu,IBIRAÇU,ES,3202504,56499,
es ibitirama,IBITIRAMA,ES,3202553,56502,
es iconha,ICONHA,ES,3202603,56510,
es irupi,IRUPI,ES,3202652,56049,
es itaguacu,ITAGUAÇU,ES,3202702,56537,
es itapemirim,ITAPEMIRIM,ES,3202801,56553,
es itarana,ITARANA,ES,3202900,56570,
es iuna,IÚNA,ES,3203007,56596,
es jaguare,JAGUARÉ,ES,3203056,57134,
es jeronimo monteiro,JERÔNIMO MONTEIRO,ES,3203106,56618,
es joao neiva,JOÃO NEIVA,ES,3203130,56626,
es laranja da terra,LARANJA DA TERRA,ES,3203163,57916,
es linhares,LINHARES,ES,3203205,56634,
es mantenopolis,MANTENÓPOLIS,ES,3203304,56650,
es marataizes,MARATAÍZES,ES,3203320,56120,
es marechal floriano,MARECHAL FLORIANO,ES,3203346,56103,
es marilandia,MARILÂNDIA,ES,3203353,57070,
es mimoso do sul,MIMOSO DO SUL,ES,3203403,56677,
es montanha,MONTANHA,ES,3203502,56693,
es mucurici,MUCURICI,ES,3203601,56715,
es muniz freire,MUNIZ FREIRE,ES,3203700,56731,
es muqui,MUQUI,ES,3203809,56758,
es nova venecia,NOVA VENÉCIA,ES,3203908,56774,
es pancas,PANCAS,ES,3204005,56790,
es pedro canario,PEDRO CANÁRIO,ES,3204054,57150,
es pinheiros,PINHEIROS,ES,3204104,56812,
es piuma,PIÚMA,ES,3204203,56839,
es ponto belo,PONTO BELO,ES,3204252,56200,
es presidente kennedy,PRESIDENTE KENNEDY,ES,3204302,56855,
es rio bananal,RIO BANANAL,ES,3204351,57118,
es rio novo do sul,RIO NOVO DO SUL,ES,3204401,56871,
es santa leopoldina,SANTA LEOPOLDINA,ES,3204500,56898,
es santa maria de jetiba,SANTA MARIA DE JETIBÁ,ES,3204559,57932,
es santa teresa,SANTA TERESA,ES,3204609,56910,
es sao domingos do norte,SÃO DOMINGOS DO NORTE,ES,3204658,56006,
es sao gabriel da palha,SÃO GABRIEL DA PALHA,ES,3204708,56936,
es sao jose do calcado,SÃO JOSÉ DO CALÇADO,ES,3204807,56952,
es sao mateus,SÃO MATEUS,ES,3204906,56979,
es sao roque do canaa,SÃO ROQUE DO CANAÃ,ES,3204955,56162,
es serra,SERRA,ES,3205002,56995,
es sooretama,SOORETAMA,ES,3205010,56189,
es vargem alta,VARGEM ALTA,ES,3205036,57959,
es venda nova do imigrante,VENDA NOVA DO IMIGRANTE,ES,3205069,57975,
es viana,VIANA,ES,3205101,57010,
es vila pavao,VILA PAVÃO,ES,3205150,56081,
es vila valerio,VILA VALÉRIO,ES,3205176,56227,
es vila velha,VILA VELHA,ES,3205200,57037,
es vitoria,VITÓRIA,ES,3205309,57053,
go abadia de goias,ABADIA DE GOIÁS,GO,5200050,93360,
go abadiania,ABADIÂNIA,GO,5200100,92010,
go acreuna,ACREÚNA,GO,5200134,96458,
go adelandia,ADELÂNDIA,GO,5200159,96911,
go agua fria de goias,ÁGUA FRIA DE GOIÁS,GO,5200175,96938,
go agua limpa,ÁGUA LIMPA,GO,5200209,92037,
go aguas lindas de goias,ÁGUAS LINDAS DE GOIÁS,GO,5200258,93343,
go alexania,ALEXÂNIA,GO,5200308,92053,
go aloandia,ALOÂNDIA,GO,5200506,92096,
go alto horizonte,ALTO HORIZONTE,GO,5200555,92940,
go alto paraiso de goias,ALTO PARAÍSO DE GOIÁS,GO,5200605,92118,
go alvorada do norte,ALVORADA DO NORTE,GO,5200803,92150,
go amaralina,AMARALINA,GO,5200829,93386,
go americano do brasil,AMERICANO DO BRASIL,GO,5200852,96610,
go amorinopolis,AMORINÓPOLIS,GO,5200902,92177,
go anapolis,ANÁPOLIS,GO,5201108,92215,
go anhanguera,ANHANGÜERA,GO,5201207,92231,
go anicuns,ANICUNS,GO,5201306,92258,
go aparecida de goiania,APARECIDA DE GOIÂNIA,GO,5201405,92274,
go aparecida do rio doce,APARECIDA DO RIO DOCE,GO,5201454,93009,
go apore,APORÉ,GO,5201504,92290,
go aracu,ARAÇU,GO,5201603,92312,
go aragarcas,ARAGARÇAS,GO,5201702,92339,
go aragoiania,ARAGOIÂNIA,GO,5201801,92355,
go araguapaz,ARAGUAPAZ,GO,5202155,96695,
go arenopolis,ARENÓPOLIS,GO,5202353,96717,
go aruana,ARUANÃ,GO,5202502,92495,
go aurilandia,AURILÂNDIA,GO,5202601,92517,
go avelinopolis,AVELINÓPOLIS,GO,5202809,92550,
go baliza,BALIZA,GO,5203104,92614,
go barro alto,BARRO ALTO,GO,5203203,92630,
go bela vista de goias,BELA VISTA DE GOIÁS,GO,5203302,92657,
go bom jardim de goias,BOM JARDIM DE GOIÁS,GO,5203401,92673,
go bom jesus de goias,BOM JESUS DE GOIÁS,GO,5203500,92690,
go bonfinopolis,BONFINÓPOLIS,GO,5203559,92029,
go bonopolis,BONÓPOLIS,GO,5203575,93408,
go brazabrantes,BRAZABRANTES,GO,5203609,92711,
go britania,BRITÂNIA,GO,5203807,92754,
go buriti alegre,BURITI ALEGRE,GO,5203906,92770,
go buriti de goias,BURITI DE GOIÁS,GO,5203939,93106,
go buritinopolis,BURITINÓPOLIS,GO,5203962,93262,
go cabeceiras,CABECEIRAS,GO,5204003,92797,
go cachoeira alta,CACHOEIRA ALTA,GO,5204102,92819,
go cachoeira de goias,CACHOEIRA DE GOIÁS,GO,5204201,92835,
go cachoeira dourada,CACHOEIRA DOURADA,GO,5204250,96733,
go cacu,CAÇU,GO,5204300,92851,
go caiaponia,CAIAPÔNIA,GO,5204409,92878,
go caldas novas,CALDAS NOVAS,GO,5204508,92894,
go caldazinha,CALDAZINHA,GO,5204557,93122,
go campestre de goias,CAMPESTRE DE GOIÁS,GO,5204607,92916,
go campinacu,CAMPINAÇU,GO,5204656,96873,
go campinorte,CAMPINORTE,GO,5204706,92932,
go campo alegre de goias,CAMPO ALEGRE DE GOIÁS,GO,5204805,92959,
go campo limpo de goias,CAMPO LIMPO DE GOIÁS,GO,5204854,93580,
go campos belos,CAMPOS BELOS,GO,5204904,92975,
go campos verdes,CAMPOS VERDES,GO,5204953,92061,
go carmo do rio verde,CARMO DO RIO VERDE,GO,5205000,92991,
go castelandia,CASTELÂNDIA,GO,5205059,92967,
go catalao,CATALÃO,GO,5205109,93017,
go caturai,CATURAÍ,GO,5205208,93033,
go cavalcante,CAVALCANTE,GO,5205307,93050,
go ceres,CERES,GO,5205406,93076,
go cezarina,CEZARINA,GO,5205455,92100,
go chapadao do ceu,CHAPADÃO DO CÉU,GO,5205471,92924,
go cidade ocidental,CIDADE OCIDENTAL,GO,5205497,93025,
go cocalzinho de goias,COCALZINHO DE GOIÁS,GO,5205513,92886,
go colinas do sul,COLINAS DO SUL,GO,5205521,92126,
go corrego do ouro,CÓRREGO DO OURO,GO,5205703,93157,
go corumba de goias,CORUMBÁ DE GOIÁS,GO,5205802,93173,
go corumbaiba,CORUMBAÍBA,GO,5205901,93190,
go cristalina,CRISTALINA,GO,5206206,93254,
go cristianopolis,CRISTIANÓPOLIS,GO,5206305,93270,
go crixas,CRIXÁS,GO,5206404,93297,
go crominia,CROMÍNIA,GO,5206503,93319,
go cumari,CUMARI,GO,5206602,93335,
go damianopolis,DAMIANÓPOLIS,GO,5206701,93351,
go damolandia,DAMOLÂNDIA,GO,5206800,93378,
go davinopolis,DAVINÓPOLIS,GO,5206909,93394,
go diorama,DIORAMA,GO,5207105,93432,
go divinopolis de goias,DIVINÓPOLIS DE GOIÁS,GO,5208301,93092,
go doverlandia,DOVERLÂNDIA,GO,5207253,96750,
go edealina,EDEALINA,GO,5207352,92207,
go edeia,EDÉIA,GO,5207402,93491,
go estrela do norte,ESTRELA DO NORTE,GO,5207501,93513,
go faina,FAINA,GO,5207535,92223,
go fazenda nova,FAZENDA NOVA,GO,5207600,93530,
go firminopolis,FIRMINÓPOLIS,GO,5207808,93572,
go flores de goias,FLORES DE GOIÁS,GO,5207907,93599,
go formosa,FORMOSA,GO,5208004,93610,
go formoso,FORMOSO,GO,5208103,93637,
